Year,Month,Day,Temperature,Relative_Humidity,Mean_Sea_Level_Pressure,Total_Precipitation,Total_Cloud_Cover,High_Cloud_Cover,Medium_Cloud_Cover ,Low_Cloud_Cover,Sunshine_Duration ,Shortwave_Radiation,Wind_Speed_10,Wind _Direction_10,Wind_Speed_80,Wind_Direction_80,Wind_Speed_900,Wind_Direction_900,Wind_Gust
2005,4,1,52.27,78.12,1023.06,0,50.42,0,1.96,50.42,-525.47,5135.3,5.06,65.76,6.07,72.22,11.2,81.33,8.4
2005,4,2,51.2,71.75,1022.43,0,6.38,13.88,1.21,4.38,704.47,5693.33,2.22,102.04,2.07,119.67,4.3,153.04,3.92
2005,4,3,53.79,67.54,1023.93,0,38.61,30.88,11.88,26.12,542.95,5534.91,1.99,199.57,2.79,200.27,3.47,243.69,4.04
2005,4,4,53.31,63.58,1025.49,0,7.46,0,0.25,7.29,741.8,5808.14,2.65,213.71,3.37,223.6,4.6,282.39,4.08
2005,4,5,52.43,80.5,1025.89,5,87.79,13.42,66.67,81.42,3.19,2443.05,5.06,220.89,7.62,232.85,18.25,258.74,11.18
2005,4,6,56.17,73.83,1021.2,0,83.03,66.46,74,39.04,186.51,4925.26,6.87,220.56,10.08,225.72,22.55,249.17,15.12
2005,4,7,54.66,75.67,1010.81,5,100,76.21,100,94.67,0,2157.36,11.52,226.13,17.51,228.16,33.42,232.37,25.58
2005,4,8,48.14,81.33,1006.26,12.9,100,23.71,99.54,100,0,2438.6,7.98,255.87,10.92,257.42,19,266.84,15.1
2005,4,9,41.73,82.67,1014.32,4.2,77.67,0,74.58,77.42,108.29,2564.98,6.39,320.62,7.25,265.36,12.71,198.47,12.87
2005,4,10,39.8,76.71,1024.37,0,32.21,0,0,32.21,495.28,3806.53,3.89,153.51,5.51,102.71,9.82,64.79,9.5
2005,4,11,45.88,77.71,1023.74,0,74.83,19.5,15.5,74.83,252.13,3411.37,9.47,48.43,12.17,53.59,23.58,65.79,18.68
2005,4,12,47.33,87.08,1018.7,3.4,77.67,20.88,59.42,77.67,12.72,2966.37,5.23,76.46,8.07,93.42,18.13,44.74,11.7
2005,4,13,53.07,78.75,1013.65,1,87.92,0.08,18.17,87.92,22.07,3149.71,3.14,278.57,4.01,288.84,6.51,243.79,3.47
2005,4,14,53.51,71.88,1007.09,0,32.5,2.08,0,32.5,410.32,5297.28,2.77,195.37,3.54,196.8,4.09,224.32,6.5
2005,4,15,52.6,78,1004.61,0.2,64.31,25.29,37.96,45.08,223.4,4281.79,4.95,232.07,6.16,247.45,7.91,280.27,7.31
2005,4,16,51.46,91.79,999.63,8.3,100,42.38,96.33,100,0,1694.56,4.65,320.22,5.71,327.06,8.48,231.06,7.58
2005,4,17,45.73,92.62,998.76,38.2,100,34.46,56.54,100,0,2127.99,5.94,233.63,6.81,222.04,8.44,247.29,9.26
2005,4,18,49.54,84.62,1001.72,0.7,99.46,31.25,17.67,99.46,4.47,2664.66,3.04,224.75,3.89,207.78,4.19,238.29,6.06
2005,4,19,50.54,85.96,1004.65,11.5,100,87.33,97.25,98.21,0,2195.63,8.79,265.57,11.22,269.71,19.7,277.09,12.15
2005,4,20,48.68,88.67,1008.46,8.3,100,36.96,95.42,100,0,2218.77,8.11,273.21,10.98,278.23,19.47,288.52,11.81
2005,4,21,48.38,83.5,1015.29,0.8,76.46,0.17,7.5,76.46,149.61,3302.79,4.33,119.55,5.17,123.36,7.42,42.34,7.28
2005,4,22,48.13,69.79,1015.96,0,3.21,0.08,0,3.21,818.86,7097.75,2.12,89.94,1.88,104.51,2.94,95.41,4.6
2005,4,23,52.82,79.17,1012.17,5.6,90.42,58.88,87.5,89.62,14.68,2339.81,3.53,180.33,4.91,191.27,9.5,231.02,8.91
